Unnamed: 0,Unnamed: 1,Unnamed: 2, Affirmations,Tag,Unnamed: 5,bg_Translation,hr_Translation,cs_Translation,da_Translation,nl_Translation,en_Translation,et_Translation
,,,"""I am a magnet for success, and I attract it effortlessly.""",,,"Translated: ""I am a magnet for success, and I attract it effortlessly."" to bg","Translated: ""I am a magnet for success, and I attract it effortlessly."" to hr","Translated: ""I am a magnet for success, and I attract it effortlessly."" to cs","Translated: ""I am a magnet for success, and I attract it effortlessly."" to da","Translated: ""I am a magnet for success, and I attract it effortlessly."" to nl","Translated: ""I am a magnet for success, and I attract it effortlessly."" to en","Translated: ""I am a magnet for success, and I attract it effortlessly."" to et"
,,,"""I am a vessel of love, creating a ripple effect of kindness.""",,,"Translated: ""I am a vessel of love, creating a ripple effect of kindness."" to bg","Translated: ""I am a vessel of love, creating a ripple effect of kindness."" to hr","Translated: ""I am a vessel of love, creating a ripple effect of kindness."" to cs","Translated: ""I am a vessel of love, creating a ripple effect of kindness."" to da","Translated: ""I am a vessel of love, creating a ripple effect of kindness."" to nl","Translated: ""I am a vessel of love, creating a ripple effect of kindness."" to en","Translated: ""I am a vessel of love, creating a ripple effect of kindness."" to et"
,,,"""Every step I take is a dance of purpose and joy.""",positive ,,"Translated: ""Every step I take is a dance of purpose and joy."" to bg","Translated: ""Every step I take is a dance of purpose and joy."" to hr","Translated: ""Every step I take is a dance of purpose and joy."" to cs","Translated: ""Every step I take is a dance of purpose and joy."" to da","Translated: ""Every step I take is a dance of purpose and joy."" to nl","Translated: ""Every step I take is a dance of purpose and joy."" to en","Translated: ""Every step I take is a dance of purpose and joy."" to et"
,,,"""I attract positive vibrations that elevate my spirit.""",positive ,,"Translated: ""I attract positive vibrations that elevate my spirit."" to bg","Translated: ""I attract positive vibrations that elevate my spirit."" to hr","Translated: ""I attract positive vibrations that elevate my spirit."" to cs","Translated: ""I attract positive vibrations that elevate my spirit."" to da","Translated: ""I attract positive vibrations that elevate my spirit."" to nl","Translated: ""I attract positive vibrations that elevate my spirit."" to en","Translated: ""I attract positive vibrations that elevate my spirit."" to et"
,,,"""My energy is a magnet for vibrant and uplifting experiences.""",positive ,,"Translated: ""My energy is a magnet for vibrant and uplifting experiences."" to bg","Translated: ""My energy is a magnet for vibrant and uplifting experiences."" to hr","Translated: ""My energy is a magnet for vibrant and uplifting experiences."" to cs","Translated: ""My energy is a magnet for vibrant and uplifting experiences."" to da","Translated: ""My energy is a magnet for vibrant and uplifting experiences."" to nl","Translated: ""My energy is a magnet for vibrant and uplifting experiences."" to en","Translated: ""My energy is a magnet for vibrant and uplifting experiences."" to et"
,,,"""I am a source of inspiration, sparking creativity in others.""",positive ,,"Translated: ""I am a source of inspiration, sparking creativity in others."" to bg","Translated: ""I am a source of inspiration, sparking creativity in others."" to hr","Translated: ""I am a source of inspiration, sparking creativity in others."" to cs","Translated: ""I am a source of inspiration, sparking creativity in others."" to da","Translated: ""I am a source of inspiration, sparking creativity in others."" to nl","Translated: ""I am a source of inspiration, sparking creativity in others."" to en","Translated: ""I am a source of inspiration, sparking creativity in others."" to et"
,,,"""I am a beacon of optimism, shining light on every challenge.""",positive ,,"Translated: ""I am a beacon of optimism, shining light on every challenge."" to bg","Translated: ""I am a beacon of optimism, shining light on every challenge."" to hr","Translated: ""I am a beacon of optimism, shining light on every challenge."" to cs","Translated: ""I am a beacon of optimism, shining light on every challenge."" to da","Translated: ""I am a beacon of optimism, shining light on every challenge."" to nl","Translated: ""I am a beacon of optimism, shining light on every challenge."" to en","Translated: ""I am a beacon of optimism, shining light on every challenge."" to et"
,,,"""Each day is a blank canvas, and I paint it with vibrant hues of gratitude.""",positive ,,"Translated: ""Each day is a blank canvas, and I paint it with vibrant hues of gratitude."" to bg","Translated: ""Each day is a blank canvas, and I paint it with vibrant hues of gratitude."" to hr","Translated: ""Each day is a blank canvas, and I paint it with vibrant hues of gratitude."" to cs","Translated: ""Each day is a blank canvas, and I paint it with vibrant hues of gratitude."" to da","Translated: ""Each day is a blank canvas, and I paint it with vibrant hues of gratitude."" to nl","Translated: ""Each day is a blank canvas, and I paint it with vibrant hues of gratitude."" to en","Translated: ""Each day is a blank canvas, and I paint it with vibrant hues of gratitude."" to et"
,,,"""I am a harmonious blend of strength, grace, and resilience.""",positive ,,"Translated: ""I am a harmonious blend of strength, grace, and resilience."" to bg","Translated: ""I am a harmonious blend of strength, grace, and resilience."" to hr","Translated: ""I am a harmonious blend of strength, grace, and resilience."" to cs","Translated: ""I am a harmonious blend of strength, grace, and resilience."" to da","Translated: ""I am a harmonious blend of strength, grace, and resilience."" to nl","Translated: ""I am a harmonious blend of strength, grace, and resilience."" to en","Translated: ""I am a harmonious blend of strength, grace, and resilience."" to et"
,,,"""My life is a garden of possibilities, blooming with joy and fulfillment.""",positive ,,"Translated: ""My life is a garden of possibilities, blooming with joy and fulfillment."" to bg","Translated: ""My life is a garden of possibilities, blooming with joy and fulfillment."" to hr","Translated: ""My life is a garden of possibilities, blooming with joy and fulfillment."" to cs","Translated: ""My life is a garden of possibilities, blooming with joy and fulfillment."" to da","Translated: ""My life is a garden of possibilities, blooming with joy and fulfillment."" to nl","Translated: ""My life is a garden of possibilities, blooming with joy and fulfillment."" to en","Translated: ""My life is a garden of possibilities, blooming with joy and fulfillment."" to et"
,,,"""I am a conduit for divine wisdom, guiding me to my true purpose.""",positive ,,"Translated: ""I am a conduit for divine wisdom, guiding me to my true purpose."" to bg","Translated: ""I am a conduit for divine wisdom, guiding me to my true purpose."" to hr","Translated: ""I am a conduit for divine wisdom, guiding me to my true purpose."" to cs","Translated: ""I am a conduit for divine wisdom, guiding me to my true purpose."" to da","Translated: ""I am a conduit for divine wisdom, guiding me to my true purpose."" to nl","Translated: ""I am a conduit for divine wisdom, guiding me to my true purpose."" to en","Translated: ""I am a conduit for divine wisdom, guiding me to my true purpose."" to et"
